Código;Status;Categoria;Tag;Data;Frase-chave de foco;Título;Título SEO;Link;Atualizado
1;Publicado;Análises bi e multivariadas;pressupostos estatísticos;07/08/2024;teste de Shapiro-Wilk;O que é o teste de Shapiro-Wilk?;Teste de Shapiro-Wilk: o que é, para que serve e como interpretar?;https://www.blog.psicometriaonline.com.br/o-que-e-o-teste-de-shapiro-wilk/;ok
2;Publicado;Análises bi e multivariadas;regressão;26/03/2025;regressão linear simples;O que é regressão linear simples?;Regressão linear simples: um guia completo!;https://www.blog.psicometriaonline.com.br/o-que-e-regressao-linear-simples/;ok
3;Publicado;Análises bi e multivariadas;regressão;28/05/2025;regressão linear múltipla;O que é regressão linear múltipla?;Regressão linear múltipla: um guia completo!;https://www.blog.psicometriaonline.com.br/o-que-e-regressao-linear-multipla/;ok
4;Publicado;Análises bi e multivariadas;correlação;11/07/2024;correlação de Pearson;O que é correlação de Pearson?;Correlação de Pearson: o que é e como interpretar?;https://www.blog.psicometriaonline.com.br/o-que-e-correlacao-de-pearson/;ok
5;Publicado;Análises bi e multivariadas;correlação;11/07/2024;correlação de Spearman;O que é correlação de Spearman?;Correlação de Spearman: O que é e como interpretar?;https://www.blog.psicometriaonline.com.br/o-que-e-correlacao-de-spearman/;ok
6;Publicado;Análises bi e multivariadas;estatística descritiva;11/07/2024;coeficiente de variação;O que é o coeficiente de variação;Coeficiente de variação: o que significa e como interpretar?;https://www.blog.psicometriaonline.com.br/coeficiente-de-variacao/;ok
7;Publicado;Metodologia científica;desenhos experimentais;04/07/2024;variáveis independentes e dependentes;O que são variáveis independentes e dependentes?;Variáveis independentes vs. dependentes: entenda a diferença;https://www.blog.psicometriaonline.com.br/o-que-sao-variaveis-independentes-e-dependentes/;ok
8;Publicado;Revisões da literatura;tipos de revisão;26/03/2025;revisão de escopo;O que é uma revisão de escopo;Revisão de escopo: O que é e para que serve?;https://www.blog.psicometriaonline.com.br/o-que-e-uma-revisao-de-escopo/;ok
9;Publicado;Análises bi e multivariadas;estatística descritiva;12/07/2024;medidas de tendência central;Medidas de tendência central: média, mediana e moda;O que são medidas de tendência central? Média, mediana e moda;https://www.blog.psicometriaonline.com.br/medidas-de-tendencia-central-media-mediana-e-moda/;ok
10;Publicado;Análises bi e multivariadas;estatística descritiva;12/07/2024;estatística descritiva e estatística inferencial;Estatística descritiva e estatística inferencial: entenda as diferenças;Estatística descritiva e estatística inferencial: entenda as diferenças;https://www.blog.psicometriaonline.com.br/estatistica-descritiva-e-estatistica-inferencial-o-que-sao-e-quais-as-diferencas/;ok
11;Publicado;Análises bi e multivariadas;teste t e anova;25/11/2024;teste t de Student;Teste t de Student;Teste t de Student: O que é e quais são os tipos?;https://www.blog.psicometriaonline.com.br/teste-t-de-student/;ok
12;Publicado;Tutoriais;tutorial no SPSS;06/08/2024;como testar a normalidade da amostra;Como testar a normalidade da amostra com os testes de Kolmogorov-Smirnov e de Shapiro-Wilk?;Como testar a normalidade dos dados no SPSS? Um tutorial;https://www.blog.psicometriaonline.com.br/como-testar-a-normalidade-da-amostra-com-kolgomorov-smirnov-e-shapiro-wilk/;ok
13;Publicado;Análises bi e multivariadas;pressupostos estatísticos;12/12/2024;assimetria e curtose;Assimetria e curtose: um guia completo;Assimetria e curtose: entendendo os conceitos;https://www.blog.psicometriaonline.com.br/assimetria-e-curtose-um-guia-completo/;ok
14;Publicado;Tutoriais;tutorial no SPSS, dados categóricos;19/07/2024;teste exato de Fisher;Teste exato de Fisher: o que é, quando usar e como calcular?;O que é o teste exato de Fisher? Um guia completo;https://www.blog.psicometriaonline.com.br/teste-exato-de-fisher/;ok
